ristorante,nome_ricetta,ingredienti
Stelle dell Infinito Celestiale,Sassi e Sassolini,"Foglie di Mandragora, Radici di Singolarità, Biscotti della Galassia, Farina di Nettuno, Funghi dell’Etere, Spezie Melange"
Stelle dell Infinito Celestiale,Galassia Ardente,"Frammenti di Supernova, Radici di Singolarità, Foglie di Mandragora, Carne di Kraken, Spaghi del Sole, Amido di Stellarion, Pane di Luce, Muffa Lunare, Spezie Melange"
Stelle dell Infinito Celestiale,Decostruzione Interdimensionale Lovecraftiana,Non specificati
Stelle dell Infinito Celestiale,Galassia di Cosmo-Delizie,"Vero Ghiaccio, Lattuga Namecciana, Carne di Drago, Amido di Stellarion, Lacrime di Unicorno, Essenza di Speziaria"
Stelle dell Infinito Celestiale,Nebulosa di Confini Sfondati,"Shard di Materia Oscura, Radici di Singolarità, Alghe Bioluminescenti, Foglie di Mandragora, Amido di Stellarion, Farina di Nettuno, Plasma Vitale, Petali di Eco"
Tutti a TARSvola,Galassia Sensoriale,"Frammenti di Supernova, Pane di Luce, Spaghi del Sole, Riso di Cassandra, Nettare di Sirena, Petali di Eco"
Tutti a TARSvola,Cosmopastico di Meraviglie Celesti,"Carne di Kraken, Uova di Fenice, Carne di Drago, Pane di Luce, Spaghi del Sole, Riso di Cassandra, Spezie Melange"
Tutti a TARSvola,Sinfonia Cosmica all'Alba di Fenice,"Cristalli di Nebulite, Uova di Fenice, Carne di Mucca, Carne di Kraken, Funghi dell’Etere, Essenza di Tachioni"
Tutti a TARSvola,Sinfonia Cosmica alla Szechuan,"Lattuga Namecciana, Colonia di Mycoflora, Teste di Idra, Granuli di Nebbia Arcobaleno, Plasma Vitale, Salsa Szechuan"
Tutti a TARSvola,Sinfonia Cosmica: Il Crescendo delle Stelle,"Radici di Gravità, Radici di Singolarità, Liane di Plasmodio, Carne di Balena spaziale, Uova di Fenice, Carne di Kraken, Gnocchi del Crepuscolo, Pane di Luce, Funghi Orbitali, Petali di Eco"
Tutti a TARSvola,Cosmofantasia di Terra e Mare nel Vortice delle Stelle,"Shard di Materia Oscura, Lattuga Namecciana, Radici di Gravità, Carne di Kraken, Carne di Mucca, Carne di Balena spaziale, Amido di Stellarion, Nettare di Sirena, Essenza di Tachioni"
Tutti a TARSvola,Cosmic Symphony di Ghiaccio e Fuoco,"Vero Ghiaccio, Colonia di Mycoflora, Radici di Gravità, Pane di Luce, Lacrime di Andromeda, Nduja Fritta, Tanto"
Tutti a TARSvola,Odissea Celestiale,"Cristalli di Memoria, Fibra di Sintetex, Carne di Drago, Biscotti della Galassia, Pane degli Abissi, Gnocchi del Crepuscolo, Muffa Lunare, Spezie Melange"
Tutti a TARSvola,Il Banchetto delle Galassie,"Lattuga Namecciana, Liane di Plasmodio, Carne di Kraken, Carne di Mucca, Pane di Luce, Pane degli Abissi, Funghi dell’Etere, Essenza di Speziaria"
Tutti a TARSvola,Cosmologia Terrestre: Viaggio in Otto Dimensioni,"Baccacedro, Radici di Gravità, Foglie di Mandragora, Carne di Mucca, Salsa Szechuan"
Universo Gastronomico di Namecc,Risotto dei Multiversi,"Riso di Cassandra, Cristalli di Nebulite, Lacrime di Unicorno, Sale Temporale fermentato, Spaghi del Sole, Affumicatura Psionica Sensoriale"
Universo Gastronomico di Namecc,Panetto di Carne,"Farina di Nettuno, Funghi Orbitali, Pane di Luce, Carne di Kraken, Carne di Xenodonte, Microsfere di Sale Temporale, Cristalli di Nebulite, Pane degli Abissi"
Universo Gastronomico di Namecc,Cosmos Risotto Reale,"Amido di Stellarion, Risotto dei Multiversi, Carne di Kraken, Pane di Luce, Funghi Orbitali, Ebollizione Magneto-Cinetica Pulsante, Bollitura Infrasonica Armonizzata, Essenza di Vuoto, Ghiaccio di Criofenice"
Universo Gastronomico di Namecc,La Balena incontra la Mandragora,"Vero Ghiaccio, Radici di Singolarità, Carne di Balena, Muffa Lunare, Foglie di Mandragora, Pane di Luce, Petali di Eco"
Universo Gastronomico di Namecc,Armonia Cosmica della Fenice,"Polvere di Stelle, Carne di mucca, Uova di Fenice, Fibra di Sintetex, Lacrime di Unicorno, Essenza di Tachioni"
Universo Gastronomico di Namecc,Fenice Galattica,"Riso di Cassandra, Cristalli di Nebulite, Alghe Bioluminescenti, Lattuga Namecciana, Uova di Fenice, Muffa Lunare, Congelazione Iperdimensionalmente Stratificata"
Universo Gastronomico di Namecc,Rapsodia Quantistica nel Cosmo,"Carne di Balena Spaziale, Carne di Xenodonte, Cristalli di Nebulite, Fibra di Sintetex, Marinatura Sotto Zero a Polarità Inversa, Lacrime di Unicorno"
Universo Gastronomico di Namecc,Galassia di Sapore Quantum,"Fusilli del Vento, Pesto di Alghe Bioluminescenti, Risotto dei Multiversi, Polvere di Crononite, Biscotti della Galassia, Essenza di Tachioni"
Universo Gastronomico di Namecc,Tris di Carne con Pane,"Pane di Luce, Carne di Xenodonte, Carne di Kraken, Risotto stellare, Ebollizione Magneto-Cinetica Pulsante, Lacrime di Unicorno, Cristalli di Memoria, Pane degli Abissi, Sale Temporale, Cottura Olografica Quantum Fluttuante"
